
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,34,,1,,
Number of Disconnected Components per Time Point,34,,2,,
Number of Disconnected Components per Time Point,34,,3,,
Number of Disconnected Components per Time Point,36,,4,,
Number of Disconnected Components per Time Point,35,,5,,
Number of Disconnected Components per Time Point,35,,6,,
Number of Disconnected Components per Time Point,34,,7,,
Number of Disconnected Components per Time Point,34,,8,,
Number of Disconnected Components per Time Point,34,,9,,
Number of Disconnected Components per Time Point,34,,10,,
Number of Disconnected Components per Time Point,35,,11,,
Number of Disconnected Components per Time Point,35,,12,,
Number of Disconnected Components per Time Point,35,,13,,
Number of Disconnected Components per Time Point,35,,14,,
Number of Disconnected Components per Time Point,36,,15,,
Number of Disconnected Components per Time Point,35,,16,,
Number of Disconnected Components per Time Point,35,,17,,
Number of Disconnected Components per Time Point,35,,18,,
Number of Disconnected Components per Time Point,35,,19,,
Number of Disconnected Components per Time Point,36,,20,,
Number of Disconnected Components per Time Point,35,,21,,
Number of Disconnected Components per Time Point,35,,22,,
Number of Disconnected Components per Time Point,34,,23,,
Number of Disconnected Components per Time Point,35,,24,,
Number of Disconnected Components per Time Point,35,,25,,
Number of Disconnected Components per Time Point,36,,26,,
Number of Disconnected Components per Time Point,36,,27,,
Number of Disconnected Components per Time Point,36,,28,,
Number of Disconnected Components per Time Point,37,,29,,
Number of Disconnected Components per Time Point,35,,30,,
Number of Disconnected Components per Time Point,35,,31,,
Number of Disconnected Components per Time Point,35,,32,,
Number of Disconnected Components per Time Point,36,,33,,
Number of Disconnected Components per Time Point,35,,34,,
Number of Disconnected Components per Time Point,36,,35,,
Number of Disconnected Components per Time Point,36,,36,,
Number of Disconnected Components per Time Point,36,,37,,
Number of Disconnected Components per Time Point,36,,38,,
Number of Disconnected Components per Time Point,35,,39,,
Number of Disconnected Components per Time Point,36,,40,,
Number of Disconnected Components per Time Point,36,,41,,
Number of Disconnected Components per Time Point,36,,42,,
Number of Disconnected Components per Time Point,36,,43,,
Number of Disconnected Components per Time Point,36,,44,,
Number of Disconnected Components per Time Point,36,,45,,
Number of Disconnected Components per Time Point,37,,46,,
Number of Disconnected Components per Time Point,36,,47,,
Number of Disconnected Components per Time Point,36,,48,,
Number of Disconnected Components per Time Point,36,,49,,
Number of Disconnected Components per Time Point,36,,50,,
Number of Disconnected Components per Time Point,36,,51,,
Number of Disconnected Components per Time Point,36,,52,,
Number of Disconnected Components per Time Point,36,,53,,
Number of Disconnected Components per Time Point,35,,54,,
Number of Disconnected Components per Time Point,36,,55,,
Number of Disconnected Components per Time Point,36,,56,,
Number of Disconnected Components per Time Point,37,,57,,
Number of Disconnected Components per Time Point,37,,58,,
Number of Disconnected Components per Time Point,36,,59,,
Number of Disconnected Components per Time Point,36,,60,,
Number of Disconnected Components per Time Point,37,,61,,
Number of Disconnected Components per Time Point,36,,62,,
Number of Disconnected Components per Time Point,37,,63,,
Number of Disconnected Components per Time Point,38,,64,,
Number of Disconnected Components per Time Point,39,,65,,
Number of Disconnected Components per Time Point,36,,66,,
Number of Disconnected Components per Time Point,36,,67,,
Number of Disconnected Components per Time Point,38,,68,,
Number of Disconnected Components per Time Point,37,,69,,
Number of Disconnected Components per Time Point,36,,70,,
Number of Disconnected Components per Time Point,35,,71,,
Number of Disconnected Components per Time Point,36,,72,,
Number of Disconnected Components per Time Point,34,,73,,
Number of Disconnected Components per Time Point,36,,74,,
Number of Disconnected Components per Time Point,36,,75,,
Number of Disconnected Components per Time Point,35,,76,,
Number of Disconnected Components per Time Point,34,,77,,
Number of Disconnected Components per Time Point,38,,78,,
Number of Disconnected Components per Time Point,36,,79,,
Number of Disconnected Components per Time Point,36,,80,,
Number of Disconnected Components per Time Point,37,,81,,
Number of Disconnected Components per Time Point,37,,82,,
Number of Disconnected Components per Time Point,35,,83,,
Number of Disconnected Components per Time Point,37,,84,,
Number of Disconnected Components per Time Point,36,,85,,
Number of Disconnected Components per Time Point,35,,86,,
Number of Disconnected Components per Time Point,34,,87,,
Number of Disconnected Components per Time Point,36,,88,,
Number of Disconnected Components per Time Point,36,,89,,
Number of Disconnected Components per Time Point,33,,90,,
Number of Disconnected Components per Time Point,35,,91,,
Number of Disconnected Components per Time Point,34,,92,,
Number of Disconnected Components per Time Point,35,,93,,
Number of Disconnected Components per Time Point,36,,94,,
Number of Disconnected Components per Time Point,36,,95,,
Number of Disconnected Components per Time Point,34,,96,,
Number of Disconnected Components per Time Point,35,,97,,
Number of Disconnected Components per Time Point,37,,98,,
Number of Disconnected Components per Time Point,34,,99,,
Number of Disconnected Components per Time Point,34,,100,,
Number of Disconnected Components per Time Point,36,,101,,
Number of Disconnected Components per Time Point,35,,102,,
Number of Disconnected Components per Time Point,38,,103,,
Number of Disconnected Components per Time Point,37,,104,,
Number of Disconnected Components per Time Point,36,,105,,
Number of Disconnected Components per Time Point,34,,106,,
Number of Disconnected Components per Time Point,35,,107,,
Number of Disconnected Components per Time Point,36,,108,,
Number of Disconnected Components per Time Point,35,,109,,
Number of Disconnected Components per Time Point,38,,110,,
Number of Disconnected Components per Time Point,36,,111,,
Number of Disconnected Components per Time Point,35,,112,,
Number of Disconnected Components per Time Point,34,,113,,
Number of Disconnected Components per Time Point,33,,114,,
Number of Disconnected Components per Time Point,34,,115,,
Number of Disconnected Components per Time Point,36,,116,,
