
Volume
 ==================== 
Volume,Unit,Category,Time,TrackID,ID,
992.666,um^3,Surface,1,1000067170,67170,
975.237,um^3,Surface,1,1000067171,67171,
911.801,um^3,Surface,1,1000067172,67172,
1274.31,um^3,Surface,1,1000067173,67173,
628.079,um^3,Surface,1,1000067174,67174,
1249.33,um^3,Surface,1,1000067175,67175,
1158.51,um^3,Surface,1,1000067176,67176,
906.933,um^3,Surface,1,1000067177,67177,
1064.23,um^3,Surface,1,1000067178,67178,
455.68,um^3,Surface,1,1000067179,67179,
208.931,um^3,Surface,1,1000067180,67180,
109.125,um^3,Surface,1,1000067181,67181,
800.056,um^3,Surface,1,1000067182,67182,
1498.02,um^3,Surface,1,1000067183,67183,
1126.04,um^3,Surface,1,1000067184,67184,
115.628,um^3,Surface,1,1000067185,67185,
192.54,um^3,Surface,1,1000067186,67186,
1796.26,um^3,Surface,1,1000067187,67187,
503.599,um^3,Surface,1,1000067188,67188,
258.064,um^3,Surface,1,1000067189,67189,
1348.75,um^3,Surface,1,1000067190,67190,
725.278,um^3,Surface,1,1000067191,67191,
759.942,um^3,Surface,1,1000067192,67192,
868.746,um^3,Surface,1,1000067193,67193,
370.934,um^3,Surface,1,1000067194,67194,
1079.26,um^3,Surface,1,1000067195,67195,
525.608,um^3,Surface,1,1000067196,67196,
438.154,um^3,Surface,1,1000067197,67197,
1305.33,um^3,Surface,1,1000067198,67198,
1667.06,um^3,Surface,1,1000067199,67199,
1098.17,um^3,Surface,1,1000067200,67200,
409.486,um^3,Surface,1,1000067201,67201,
437.488,um^3,Surface,1,1000067202,67202,
96.5367,um^3,Surface,1,1000067203,67203,
816.412,um^3,Surface,1,1000067204,67204,
141.39,um^3,Surface,1,1000067205,67205,
662.41,um^3,Surface,1,1000067206,67206,
352.072,um^3,Surface,1,1000067207,67207,
1027.52,um^3,Surface,1,1000067208,67208,
679.169,um^3,Surface,1,1000067209,67209,
817.79,um^3,Surface,1,1000067210,67210,
1271.32,um^3,Surface,1,1000067211,67211,
968.205,um^3,Surface,1,1000067212,67212,
536.187,um^3,Surface,1,1000067213,67213,
412.963,um^3,Surface,1,1000067214,67214,
1366.06,um^3,Surface,1,1000067215,67215,
93.5436,um^3,Surface,1,1000067216,67216,
1683.94,um^3,Surface,1,1000067217,67217,
478.899,um^3,Surface,1,1000067218,67218,
652.552,um^3,Surface,1,1000067219,67219,
725.382,um^3,Surface,1,1000067220,67220,
647.783,um^3,Surface,1,1000067221,67221,
1300.08,um^3,Surface,1,1000067222,67222,
